Trial,Sus 1,Amp 1,Chord 1,IsSim 1,Sus 2,Amp 2,Chord 2,IsSim 2,Valence,Arousal,Notes
1,0,0,0,0,0,0,0,0,0,0,hello
2,0,0,0,0,0,0,0,0,0,0,both seq
3,0,0,0,1,0,0,0,0,0,0,both sim
4,0,0,0,0,0,0,0,0,0,0,seq sim
5,0,0,0,1,0,0,0,0,-1,1,sim seq
