Trial,Chord 1,Sus 1,Amp 1,IsSim 1,IsMajor,Chord 2,Sus 2,Amp 2,IsSim 2,IsMajor,Valence,Arousal,Notes
1,2,0,0,0,0,7,0,0,1,1,-1,1,let's see if this works
2,2,1,0,0,0,7,1,0,1,1,-1,1,actual mes stuff lol
