Trial,Sus 1,Amp 1,Chord 1,IsSim 1,Sus 2,Amp 2,Chord 2,IsSim 2,Valence,Arousal,Notes
1,0,0,0,0,0,0,0,0,1,-1,should be seq sim
2,1,3,0,1,1,0,0,0,1,-1,should be sim seq
